date,close
05/01/12,582.13
04/30/12,583.98
04/27/12,603
04/26/12,607.7
04/25/12,610
04/24/12,560.28
04/23/12,571.7
04/20/12,572.98
04/19/12,587.44
04/18/12,608.34
04/17/12,609.7
04/16/12,580.13
04/13/12,605.23
04/12/12,622.77
04/11/12,626.2
04/10/12,628.44
04/09/12,636.23
04/05/12,633.68
04/04/12,624.31
04/03/12,629.32
04/02/12,618.63
03/30/12,599.55
03/29/12,609.86
03/28/12,617.62
03/27/12,614.48
03/26/12,606.98
03/23/12,596.05
03/22/12,599.34
03/21/12,602.5
03/20/12,605.96
03/19/12,601.1
03/16/12,585.57
03/15/12,585.56
03/14/12,589.58
03/13/12,568.1
03/12/12,552
03/09/12,545.17
03/08/12,541.99
03/07/12,530.69
03/06/12,530.26
03/05/12,533.16
03/02/12,545.18
03/01/12,544.47
02/29/12,542.44
02/28/12,535.41
02/27/12,525.76
02/24/12,522.41
02/23/12,516.39
02/22/12,513.04
02/21/12,514.85
02/17/12,502.12
02/16/12,502.21
02/15/12,497.67
02/14/12,509.46
02/13/12,502.6
02/10/12,493.42
02/09/12,493.17
02/08/12,476.68
02/07/12,468.83
02/06/12,463.97
02/03/12,459.68
02/02/12,455.12
02/01/12,456.19
01/31/12,456.48
01/30/12,453.01
01/27/12,447.28
01/26/12,444.63
01/25/12,446.66
01/24/12,420.41
01/23/12,427.41
01/20/12,420.3
01/19/12,427.75
01/18/12,429.11
01/17/12,424.7
01/13/12,419.81
01/12/12,421.39
01/11/12,422.55
01/10/12,423.24
01/09/12,421.73
01/06/12,422.4
01/05/12,418.03
01/04/12,413.44
01/03/12,411.23
12/30/11,405
12/29/11,405.12
12/28/11,402.64
12/27/11,406.53
12/23/11,403.43
12/22/11,398.55
12/21/11,396.44
12/20/11,395.95
12/19/11,382.21
12/16/11,381.02
12/15/11,378.94
12/14/11,380.19
12/13/11,388.81
12/12/11,391.84
12/09/11,393.62
12/08/11,390.66
12/07/11,389.09
12/06/11,390.95
12/05/11,393.01
12/02/11,389.7
12/01/11,387.93
11/30/11,382.2
11/29/11,373.2
11/28/11,376.12
11/25/11,363.57
11/23/11,366.99
11/22/11,376.51
11/21/11,369.01
11/18/11,374.94
11/17/11,377.41
11/16/11,384.77
11/15/11,388.83
11/14/11,379.26
11/11/11,384.62
11/10/11,385.22
11/09/11,395.28
11/08/11,406.23
11/07/11,399.73
11/04/11,400.24
11/03/11,403.07
11/02/11,397.41
11/01/11,396.51
10/31/11,404.78
10/28/11,404.95
10/27/11,404.69
10/26/11,400.6
10/25/11,397.77
10/24/11,405.77
10/21/11,392.87
10/20/11,395.31
10/19/11,398.62
10/18/11,422.24
10/17/11,419.99
10/14/11,422
10/13/11,408.43
10/12/11,402.19
10/11/11,400.29
10/10/11,388.81
10/07/11,369.8
10/06/11,377.37
10/05/11,378.25
10/04/11,372.5
10/03/11,374.6
09/30/11,381.32
09/29/11,390.57
09/28/11,397.01
09/27/11,399.26
09/26/11,403.17
09/23/11,404.3
09/22/11,401.82
09/21/11,412.14
09/20/11,413.45
09/19/11,411.63
09/16/11,400.5
09/15/11,392.96
09/14/11,389.3
09/13/11,384.62
09/12/11,379.94
09/09/11,377.48
09/08/11,384.14
09/07/11,383.93
09/06/11,379.74
09/02/11,374.05
09/01/11,381.03
08/31/11,384.83
08/30/11,389.99
08/29/11,389.97
08/26/11,383.58
08/25/11,373.72
08/24/11,376.18
08/23/11,373.6
08/22/11,356.44
08/19/11,356.03
08/18/11,366.05
08/17/11,380.44
08/16/11,380.48
08/15/11,383.41
08/12/11,376.99
08/11/11,373.7
08/10/11,363.69
08/09/11,374.01
08/08/11,353.21
08/05/11,373.62
08/04/11,377.37
08/03/11,392.57
08/02/11,388.91
08/01/11,396.75
07/29/11,390.48
07/28/11,391.82
07/27/11,392.59
07/26/11,403.41
07/25/11,398.5
07/22/11,393.3
07/21/11,387.29
07/20/11,386.9
07/19/11,376.85
07/18/11,373.8
07/15/11,364.92
07/14/11,357.77
07/13/11,358.02
07/12/11,353.75
07/11/11,354
07/08/11,359.71
07/07/11,357.2
07/06/11,351.76
07/05/11,349.43
07/01/11,343.26
06/30/11,335.67
06/29/11,334.04
06/28/11,335.26
06/27/11,332.04
06/24/11,326.35
06/23/11,331.23
06/22/11,322.61
06/21/11,325.3
06/20/11,315.32
06/17/11,320.26
06/16/11,325.16
06/15/11,326.75
06/14/11,332.44
06/13/11,326.6
06/10/11,325.9
06/09/11,331.49
06/08/11,332.24
06/07/11,332.04
06/06/11,338.04
06/03/11,343.44
06/02/11,346.1
06/01/11,345.51
05/31/11,347.83
05/27/11,337.41
05/26/11,335
05/25/11,336.78
05/24/11,332.19
05/23/11,334.4
05/20/11,335.22
05/19/11,340.53
05/18/11,339.87
05/17/11,336.14
05/16/11,333.3
05/13/11,340.5
05/12/11,346.57
05/11/11,347.23
05/10/11,349.45
05/09/11,347.6
05/06/11,346.66
05/05/11,346.75
05/04/11,349.57
05/03/11,348.2
05/02/11,346.28
04/29/11,350.13
04/28/11,346.75
04/27/11,350.15
04/26/11,350.42
04/25/11,353.01
04/21/11,350.7
04/20/11,342.41
04/19/11,337.86
04/18/11,331.85
04/15/11,327.46
04/14/11,332.42
04/13/11,336.13
04/12/11,332.4
04/11/11,330.8
04/08/11,335.06
04/07/11,338.08
04/06/11,338.04
04/05/11,338.89
04/04/11,341.19
04/01/11,344.56
03/31/11,348.51
03/30/11,348.63
03/29/11,350.96
03/28/11,350.44
03/25/11,351.54
03/24/11,344.97
03/23/11,339.19
03/22/11,341.2
03/21/11,339.3
03/18/11,330.67
03/17/11,334.64
03/16/11,330.01
03/15/11,345.43
03/14/11,353.56
03/11/11,351.99
03/10/11,346.67
03/09/11,352.47
03/08/11,355.76
03/07/11,355.36
03/04/11,360
03/03/11,359.56
03/02/11,352.12
03/01/11,349.31
02/28/11,353.21
02/25/11,348.16
02/24/11,342.88
02/23/11,342.62
02/22/11,338.61
02/18/11,350.56
02/17/11,358.3
02/16/11,363.13
02/15/11,359.9
02/14/11,359.18
02/11/11,356.85
02/10/11,354.54
02/09/11,358.16
02/08/11,355.2
02/07/11,351.88
02/04/11,346.5
02/03/11,343.44
02/02/11,344.32
02/01/11,345.03
01/31/11,339.32
01/28/11,336.1
01/27/11,343.21
01/26/11,343.85
01/25/11,341.4
01/24/11,337.45
01/21/11,326.72
01/20/11,332.68
01/19/11,338.84
01/18/11,340.65
01/14/11,348.48
01/13/11,345.68
01/12/11,344.42
01/11/11,341.64
01/10/11,342.46
01/07/11,336.12
01/06/11,333.73
01/05/11,334
01/04/11,331.29
01/03/11,329.57
12/31/10,322.56
12/30/10,323.66
12/29/10,325.29
12/28/10,325.47
12/27/10,324.68
12/23/10,323.6
12/22/10,325.16
12/21/10,324.2
12/20/10,322.21
12/17/10,320.61
12/16/10,321.25
12/15/10,320.36
12/14/10,320.29
12/13/10,321.67
12/10/10,320.56
12/09/10,319.76
12/08/10,321.01
12/07/10,318.21
12/06/10,320.15
12/03/10,317.44
12/02/10,318.15
12/01/10,316.4
11/30/10,311.15
11/29/10,316.87
11/26/10,315
11/24/10,314.8
11/23/10,308.73
11/22/10,313.36
11/19/10,306.73
11/18/10,308.43
11/17/10,300.5
11/16/10,301.59
11/15/10,307.04
11/12/10,308.03
11/11/10,316.66
11/10/10,318.03
11/09/10,316.08
11/08/10,318.62
11/05/10,317.13
11/04/10,318.27
11/03/10,312.8
11/02/10,309.36
11/01/10,304.18
10/29/10,300.98
10/28/10,305.24
